"Summary","Created","Updated","Last Viewed","Resolved","Labels","Description"
"EXP 30 July -  Officeworks Integrator PROD Certificate renewal","07/Jul/25 11:05 AM","30/Jul/25 9:27 AM","","30/Jul/25 9:27 AM","","{panel:bgColor=#deebff} Pull ticket into sprint early so we don’t run out of time to contact Supplier {panel} *As* a developer that is a custodian of Supplier Feeds *I want to* renew {{officeworks-integrator-prd}} for prod environment *So that* it doesn’t expire and our relationship with {{Officeworks}} continues smoothly. h3. In Scope *From Slack channel* Name: OfficeWorks Integrator PROD Certificate Thumbprint: 885034dd7984f879bea50e1f26fa8c736262c5f0 Expiring on: 2025-07-30 00:00:00 +0000 UTC h3. To Do # Renew certificates in digicert. # With received certificate, add certificate zip to 1Password. # Add thumbprint to Integrator’s guestlist. # Test the certificate. # Add this certificate to the cert expiry notifier. # Update Supplier Feed documentation with its expiry and serial number. # Update any name and email contacts if required. h3. How to test To Do 4: follow Curl command, to receive 400 or 422 for successful. - [https://myobconfluence.atlassian.net/wiki/spaces/PAR/pages/9064415278/Installing+new+Client+Certificates#Testing-the-changes|https://myobconfluence.atlassian.net/wiki/spaces/PAR/pages/9064415278/Installing+new+Client+Certificates#Testing-the-changes|smart-link] h3. Release strategy # Notify relevant external contacts that prod certificate has been renewed. We should not send the cert zip and password in same email. ## Email 1 notifying team about expiry and attach zipped certificate. ## Email 2: link with password. A private bin link will likely be password protected blocked. h3. Tech notes # DigiCert® TLS *renewal* order for, for {{[]}} certificate expiration is []. The serial number: {{[]. }}The Thumbprint: []. Industry guidelines limit the maximum TLS certificate validity to 397 days. Order number: *[]* # Integrators guestlist - [https://github.com/MYOB-Technology/monopoly-docs/blob/master/app/src/support/supplier-feeds/certificate-management/installing-new-client-certificates.md#1-add-new-thumbprint-to-integrators-guestlist|https://github.com/MYOB-Technology/monopoly-docs/blob/master/app/src/support/supplier-feeds/certificate-management/installing-new-client-certificates.md#1-add-new-thumbprint-to-integrators-guestlist] # Installing new Client Certificate - [https://myobconfluence.atlassian.net/wiki/spaces/PAR/pages/9064415278/Installing+new+Client+Certificates#Testing-the-changes|https://myobconfluence.atlassian.net/wiki/spaces/PAR/pages/9064415278/Installing+new+Client+Certificates#Testing-the-changes|smart-link] # Cert Expiry Notifier - [https://myobconfluence.atlassian.net/wiki/spaces/SNSS/pages/8862105839/Certificate+Expiry+Notifier|https://myobconfluence.atlassian.net/wiki/spaces/SNSS/pages/8862105839/Certificate+Expiry+Notifier|smart-link] # Supplier Feed Documentation - [https://myobconfluence.atlassian.net/wiki/spaces/PAR/pages/1459782091/Supplier+Feeds+mutual+TLS+register+and+upgrade+instructions|https://myobconfluence.atlassian.net/wiki/spaces/PAR/pages/1459782091/Supplier+Feeds+mutual+TLS+register+and+upgrade+instructions|smart-link] # Contacts are in our Partner contacts - update if required[https://myobconfluence.atlassian.net/wiki/spaces/PAR/pages/9064285250/Partner+Contacts|https://myobconfluence.atlassian.net/wiki/spaces/PAR/pages/9064285250/Partner+Contacts|smart-link]"
"25.6 Tech Release - 9/7","07/Jul/25 10:12 AM","10/Jul/25 9:32 AM","","10/Jul/25 9:32 AM","","Standard deployment of public API: [https://myobconfluence.atlassian.net/wiki/spaces/SPPA/pages/10546642945/Public+API+Major+Release+-+25.6|https://myobconfluence.atlassian.net/wiki/spaces/SPPA/pages/10546642945/Public+API+Major+Release+-+25.6|smart-link] h1. *Key Cross functional dates* *Code cut off -* {{2025-07-04}} *ARL and Public API Tech release to Production -* {{2025-07-09}} *3pm* *Partner pre release comm's -* {{2025-07-10}} *2pm* *Release Go/No-Go -* {{2025-07-16}} *1pm* *MYOB Business & ARL release -* {{2025-07-16}} *8pm* *Decommission 25.5* - 28th July Public API domain deployment doc - [https://myobconfluence.atlassian.net/wiki/x/AQChdAI|https://myobconfluence.atlassian.net/wiki/x/AQChdAI|smart-link]"
"EXP 06 Aug-  Reece SIT & PROD certificate renewal","07/Jul/25 10:03 AM","04/Aug/25 3:38 PM","","04/Aug/25 3:38 PM","","{panel:bgColor=#deebff} Pull ticket into sprint early so we don’t run out of time to contact Supplier {panel} *As* a developer that is a custodian of Supplier Feeds *I want to* renew {{Reece Plumbing SIT}} for nonprod environment and {{Reece PROD Certificate}} for prod environment, *So that* it doesn’t expire and our relationship with Reece continues smoothly. h3. In Scope *From Slack channel* Name: *Reece Plumbing SIT* Thumbprint: 95340a4021ba9f066fa41362a302958b436a6a60 Expiring on: 2025-08-06 23:59:59 +0000 UTC ------------------------------------------ Name: *Reece PROD Certificate* Thumbprint: e6b4983294df609e415ec2dde0d7237e912db49f Expiring on: 2025-08-06 23:59:59 +0000 UTC h3. To Do # Renew certificates in digicert. # With received certificate, add certificate zip to 1Password. # Add thumbprint to Integrator’s guestlist. # Test the certificate. # Add this certificate to the cert expiry notifier. # Update Supplier Feed documentation with its expiry and serial number. # Update any name and email contacts if required. h3. How to test To Do 4: follow Curl command, to receive 400 or 422 for successful. - [https://myobconfluence.atlassian.net/wiki/spaces/PAR/pages/9064415278/Installing+new+Client+Certificates#Testing-the-changes|https://myobconfluence.atlassian.net/wiki/spaces/PAR/pages/9064415278/Installing+new+Client+Certificates#Testing-the-changes|smart-link] h3. Release strategy # Notify relevant Reece people that prod certificate has been renewed. We should not send the cert zip and password in same email. ## Email 1 notifying team about expiry and attach zipped certificate. ## Email 2: link with password. A private bin link will likely be password protected blocked. h3. Tech notes # DigiCert® TLS *renewal* order for, ## DigiCert® TLS order for {{[]}} certificate expiration is []. The serial number: {{[]. }}The Thumbprint: []. Industry guidelines limit the maximum TLS certificate validity to 397 days. Order number: *[]* ## DigiCert® TLS order for {{[]}} certificate expiration is []. The serial number: {{[]. }}The Thumbprint: []. Industry guidelines limit the maximum TLS certificate validity to 397 days. Order number: *[]* # Integrators guestlist - [https://github.com/MYOB-Technology/monopoly-docs/blob/master/app/src/support/supplier-feeds/certificate-management/installing-new-client-certificates.md#1-add-new-thumbprint-to-integrators-guestlist|https://github.com/MYOB-Technology/monopoly-docs/blob/master/app/src/support/supplier-feeds/certificate-management/installing-new-client-certificates.md#1-add-new-thumbprint-to-integrators-guestlist] # Installing new Client Certificate - [https://myobconfluence.atlassian.net/wiki/spaces/PAR/pages/9064415278/Installing+new+Client+Certificates#Testing-the-changes|https://myobconfluence.atlassian.net/wiki/spaces/PAR/pages/9064415278/Installing+new+Client+Certificates#Testing-the-changes|smart-link] # Cert Expiry Notifier - [https://myobconfluence.atlassian.net/wiki/spaces/SNSS/pages/8862105839/Certificate+Expiry+Notifier|https://myobconfluence.atlassian.net/wiki/spaces/SNSS/pages/8862105839/Certificate+Expiry+Notifier|smart-link] # Supplier Feed Documentation - [https://myobconfluence.atlassian.net/wiki/spaces/PAR/pages/1459782091/Supplier+Feeds+mutual+TLS+register+and+upgrade+instructions|https://myobconfluence.atlassian.net/wiki/spaces/PAR/pages/1459782091/Supplier+Feeds+mutual+TLS+register+and+upgrade+instructions|smart-link] # Contacts can be found in Partner contacts[https://myobconfluence.atlassian.net/wiki/spaces/PAR/pages/9064285250/Partner+Contacts#Reece-%2F-Actrol-%2F-Metalflex|https://myobconfluence.atlassian.net/wiki/spaces/PAR/pages/9064285250/Partner+Contacts#Reece-%2F-Actrol-%2F-Metalflex|smart-link]"
"EXP 09 Aug-  Ampol certificate renewal","07/Jul/25 10:02 AM","14/Aug/25 8:22 AM","","11/Aug/25 2:51 PM","","{panel:bgColor=#deebff} Pull ticket into sprint early so we don’t run out of time to contact Supplier {panel} *As* a developer that is a custodian of Supplier Feeds *I want to* renew {{connect-digital-nonprod.ampol.com.au}} for nonprod environment *So that* it doesn’t expire and our relationship with Ampol continues smoothly. h3. In Scope *From Slack channel* Name: [connect-digital-nonprod.ampol.com.au|http://connect-digital-nonprod.ampol.com.au/] Thumbprint: b17aa748bdbd4f194fbc0469e9b781d0db0f1e05 Expiring on: 2025-08-09 09:59:59 +0000 UTC h3. To Do # Request certificate from Ampol. *** Ampol we request from them. # With received certificate, add certificate zip to 1Password. # Add thumbprint to Integrator’s guestlist. # Test the certificate. # Add this certificate to the cert expiry notifier. # Update Supplier Feed documentation with its expiry and serial number. # Update any name and email contacts if required. h3. How to test To Do 4: follow Curl command, to receive 400 or 422 for successful. - [https://myobconfluence.atlassian.net/wiki/spaces/PAR/pages/9064415278/Installing+new+Client+Certificates#Testing-the-changes|https://myobconfluence.atlassian.net/wiki/spaces/PAR/pages/9064415278/Installing+new+Client+Certificates#Testing-the-changes|smart-link] h3. Release strategy # Notify relevant external contacts that prod certificate has been renewed. We should not send the cert zip and password in same email. ## Email 1 notifying team about expiry and attach zipped certificate. ## Email 2: link with password. A private bin link will likely be password protected blocked. h3. Tech notes # DigiCert® TLS *renewal* order for {{connect-digital-nonprod.ampol.com.au}} certificate expiration is []. The serial number: {{[]. }}The Thumbprint: []. Industry guidelines limit the maximum TLS certificate validity to 397 days. Order number: *[]* # Integrators guestlist - [https://github.com/MYOB-Technology/monopoly-docs/blob/master/app/src/support/supplier-feeds/certificate-management/installing-new-client-certificates.md#1-add-new-thumbprint-to-integrators-guestlist|https://github.com/MYOB-Technology/monopoly-docs/blob/master/app/src/support/supplier-feeds/certificate-management/installing-new-client-certificates.md#1-add-new-thumbprint-to-integrators-guestlist] # Installing new Client Certificate - [https://myobconfluence.atlassian.net/wiki/spaces/PAR/pages/9064415278/Installing+new+Client+Certificates#Testing-the-changes|https://myobconfluence.atlassian.net/wiki/spaces/PAR/pages/9064415278/Installing+new+Client+Certificates#Testing-the-changes|smart-link] # Cert Expiry Notifier - [https://myobconfluence.atlassian.net/wiki/spaces/SNSS/pages/8862105839/Certificate+Expiry+Notifier|https://myobconfluence.atlassian.net/wiki/spaces/SNSS/pages/8862105839/Certificate+Expiry+Notifier|smart-link] # Supplier Feed Documentation - [https://myobconfluence.atlassian.net/wiki/spaces/PAR/pages/1459782091/Supplier+Feeds+mutual+TLS+register+and+upgrade+instructions|https://myobconfluence.atlassian.net/wiki/spaces/PAR/pages/1459782091/Supplier+Feeds+mutual+TLS+register+and+upgrade+instructions|smart-link] # Contacts can be found in Partner contacts[https://myobconfluence.atlassian.net/wiki/spaces/PAR/pages/9064285250/Partner+Contacts#Reece-%2F-Actrol-%2F-Metalflex|https://myobconfluence.atlassian.net/wiki/spaces/PAR/pages/9064285250/Partner+Contacts#Reece-%2F-Actrol-%2F-Metalflex|smart-link]"
"Supplier Feeds - [NUCLEUS][MED] Enable server certificate validation on this SSL/TLS connection","04/Jul/25 12:03 PM","28/Jul/25 10:10 AM","","28/Jul/25 10:10 AM","","[SLA Rating] Medium - 633 [Triage] - 14 days [Remediation] - 120 days h3. Summary: Nucleus: Enable server certificate validation on this SSL/TLS connection. - VULNERABILITY Source: SONARQUBE Description: SonarQube found issue: go:S4830 Target: Asset name: integrator-service [master] - Path: sonar-sme:SupplierFeeds:tasks/integrator-client/client.go h3. Solution: Enable server certificate validation on this SSL/TLS connection. Component: sonar-sme:SupplierFeeds:tasks/integrator-client/client.go Line: 102 Text Range: Start Line: 102 End Line: 102 Start Offset: 15 End Offset: 25 h3. References: Type: VULNERABILITY Fix Effort: 5min Debt: 5min Tags: cwe,privacy,ssl Nucleus Risk Score: 630 Max Severity: High Exploitable: No Date Discovered: 2025-07-03 02:22:52 Please see [https://nucleus-aus2.nucleussec.com/nucleus/public/app/index.php?sso=b3JnX2lkJTNEMTQwMDAwMDAlMjZkb21haW4lM0RteW9iLmNvbQ==#vuln/15000001/Z286UzQ4MzAtVlVMTkVSQUJJTElUWQ--/U09OQVJRVUJF/VnVsbg--/MzYwODc4NDE-/MTUwMDAwMDE-/aG9zdHN1bW1hcnk-/false/false/43029641|https://nucleus-aus2.nucleussec.com/nucleus/public/app/index.php?sso=b3JnX2lkJTNEMTQwMDAwMDAlMjZkb21haW4lM0RteW9iLmNvbQ==#vuln/15000001/Z286UzQ4MzAtVlVMTkVSQUJJTElUWQ--/U09OQVJRVUJF/VnVsbg--/MzYwODc4NDE-/MTUwMDAwMDE-/aG9zdHN1bW1hcnk-/false/false/43029641] for more information on these vulnerabilities"
"Supplier Feeds - [NUCLEUS][MED] Enable server hostname verification on this SSL/TLS connection","04/Jul/25 11:59 AM","04/Aug/25 1:31 PM","","04/Aug/25 1:31 PM","","[SLA Rating] Medium - 633 [Triage] - 14 days [Remediation] - 120 days h3. Summary: Nucleus: Enable server hostname verification on this SSL/TLS connection. - VULNERABILITY Source: SONARQUBE Description: SonarQube found issue: go:S5527 Asset Information Asset Name: integrator-service [master] Path: sonar-sme:SupplierFeeds:tasks/integrator-client/client.go h3. Solution: Enable server hostname verification on this SSL/TLS connection. Component: sonar-sme:SupplierFeeds:tasks/integrator-client/client.go Line: 102 Text Range: Start Line: 102 End Line: 102 Start Offset: 15 End Offset: 25 h3. References: Type: VULNERABILITY Fix Effort: 5min Debt: 5min Tags: cwe,privacy,ssl Nucleus Risk Score: 630 Max Severity: High Exploitable: No Date Discovered: 2025-07-03 02:22:52 Please see [https://nucleus-aus2.nucleussec.com/nucleus/public/app/index.php?sso=b3JnX2lkJTNEMTQwMDAwMDAlMjZkb21haW4lM0RteW9iLmNvbQ==#vuln/15000001/Z286UzU1MjctVlVMTkVSQUJJTElUWQ--/U09OQVJRVUJF/VnVsbg--/MzYwODc4NDE-/MTUwMDAwMDE-/aG9zdHN1bW1hcnk-/false/false/43029641|https://nucleus-aus2.nucleussec.com/nucleus/public/app/index.php?sso=b3JnX2lkJTNEMTQwMDAwMDAlMjZkb21haW4lM0RteW9iLmNvbQ==#vuln/15000001/Z286UzU1MjctVlVMTkVSQUJJTElUWQ--/U09OQVJRVUJF/VnVsbg--/MzYwODc4NDE-/MTUwMDAwMDE-/aG9zdHN1bW1hcnk-/false/false/43029641] for more information on these vulnerabilities"
"Supplier Feeds - [NUCLEUS][MED] Use a secure mode and padding scheme for this encryption algorithm.","04/Jul/25 11:54 AM","28/Jul/25 10:10 AM","","28/Jul/25 10:10 AM","","[SLA Rating] Medium - 633 [Triage] - 14 days [Remediation] - 120 days h3. Summary Nucleus: Use a secure mode and padding scheme for this encryption algorithm. - VULNERABILITY h3. Source: SONARQUBE Description: SonarQube found issue: go:S5542 Asset Information Asset Name: integrator-service [master] Path: sonar-sme:SupplierFeeds:myob/jwt.go h3. Solution: Use a secure mode and padding scheme for this encryption algorithm. Component: sonar-sme:SupplierFeeds:myob/jwt.go Line: 154 Text Range: Start Line: 154 End Line: 154 Start Offset: 12 End Offset: 26 h3. References: Type: VULNERABILITY Fix Effort: 20min Debt: 20min Tags: cwe,privacy Nucleus Risk Score: 630 Max Severity: High Exploitable: No Date Discovered: 2025-07-03 02:22:52 Please see [https://nucleus-aus2.nucleussec.com/nucleus/public/app/index.php?sso=b3JnX2lkJTNEMTQwMDAwMDAlMjZkb21haW4lM0RteW9iLmNvbQ==#vuln/15000001/Z286UzU1NDItVlVMTkVSQUJJTElUWQ--/U09OQVJRVUJF/VnVsbg--/MzYwODc4NDE-/MTUwMDAwMDE-/aG9zdHN1bW1hcnk-/false/false/43029641|https://nucleus-aus2.nucleussec.com/nucleus/public/app/index.php?sso=b3JnX2lkJTNEMTQwMDAwMDAlMjZkb21haW4lM0RteW9iLmNvbQ==#vuln/15000001/Z286UzU1NDItVlVMTkVSQUJJTElUWQ--/U09OQVJRVUJF/VnVsbg--/MzYwODc4NDE-/MTUwMDAwMDE-/aG9zdHN1bW1hcnk-/false/false/43029641] for more information on these vulnerabilities"
"Consent Web App - [WIZ][Critical] endpoint exposing Next.js vulnerability","04/Jul/25 11:52 AM","16/Jul/25 9:55 AM","","16/Jul/25 9:55 AM","","[https://app.wiz.io/issues#~(filters~(status~(equals~(~'OPEN~'IN_PROGRESS)))~issue~'76607ec1-b8e1-4c1b-88d3-c99556df47d4)|https://app.wiz.io/issues#%7E%28filters%7E%28status%7E%28equals%7E%28%7E%27OPEN%7E%27IN_PROGRESS%29%29%29%7Eissue%7E%2776607ec1-b8e1-4c1b-88d3-c99556df47d4%29] *Environment:* dev *Location:* dev-business-api-consent-web *Severity:* Critical *Remediation:* 5 mins(suggested) h3. Description This container has Next.js validated as exposed by the Wiz Dynamic Scanner, and a CVE-2025-29927 detected via agentless scanning. Publicly exposed resources are more easily accessible for an attacker than internal ones. The vulnerability allows attackers to bypass authentication and other security mechanisms enforced via middleware by manipulating the {{x-middleware-subrequest}} header. h3. Initial Access The entry point for an attacker is the publicly exposed *hxxps://dev-business-api-consent-web[.]svc[.]platform[.]myobdev[.]com:443/* endpoint, which serves *Next.js* vulnerable to CVE-2025-29927. h3. Execution An attacker can exploit CVE-2025-29927 in *Next.js* by manipulating the {{x-middleware-subrequest}} header to bypass authentication and security mechanisms enforced via middleware. h3. Impact The vulnerability allows unauthorized access to protected resources, potentially compromising the *dev-business-api-consent-web* deployment in the {{ex-cluster-preprod}} subscription. This could lead to data breaches, unauthorized actions, or further system compromise. h3. Additional Information CVE-2025-29927 is a critical vulnerability in Next.js versions 14.0.0 to 14.2.24. It has known exploits available and can be remediated by updating to version 14.2.25 or higher. h3. Further info * the issue 'resolves' itself, that's why it is probably not there for you, but I expect that it will appear again. It is suspected that it is caused by the pod being an ephemeral instance. When the resource is gone, Wiz takes that as the issue is resolved and the issue will pop back up when the pod is up again. screenshots before the vulnerability ‘resolves’ itself again !Screenshot (317).png|width=2560,height=1600,alt=""""Screenshot (317).png""""! !Screenshot (316).png|width=2560,height=1600,alt=""""Screenshot (316).png""""! Triage document: [https://myobconfluence.atlassian.net/wiki/spaces/SPPA/pages/10573776129/CVE-2025-29927+Next.js+Middleware+Bypass+Vulnerability|https://myobconfluence.atlassian.net/wiki/spaces/SPPA/pages/10573776129/CVE-2025-29927+Next.js+Middleware+Bypass+Vulnerability|smart-link]"
"Failing Public API Pipeline","03/Jul/25 9:45 AM","04/Jul/25 1:06 PM","","04/Jul/25 1:06 PM","","h1. Description Public API main testing pipeline has been failing for long time: [https://huxleybuild.myob.myobcorp.net/go/tab/build/detail/Huxley-API-Deploy-CI-WebRole_V2_Main/1201/BDDCommon/5/BDDTestsCommon|https://huxleybuild.myob.myobcorp.net/go/tab/build/detail/Huxley-API-Deploy-CI-WebRole_V2_Main/1201/BDDCommon/5/BDDTestsCommon]"
"Grant access to FS team to use S2S token in public API","30/Jun/25 10:06 AM","03/Jul/25 1:04 PM","","03/Jul/25 1:04 PM","","2 teams have reached out to use the S2S token in Public API SIT: {{3DxAJ3lWMxyfWGanBKLcfWkLB4ThluDU}} PROD: {{JUy8gndVD10p7BGhhYZTnzBI5qW8tPbl}} SIT: qrE4fnDQBuPiEkjsBLlkyPLNnbeP1vp9 PROD: bVDMaMnyFlcHPk5hN5N2mBpFqDlRo12q Base on the conversation with identity team, the problem seems to be the team is providing MYOBID client where as public API currently is on IDS client. h1. Updated Clients h2. Payment Routing Service SIT: {{sit-payment-routing-service}} (/) h2. Popeye ARL Adapter SIT: {{popeye-arl-public-api-sit}} (/) Conversation in Slack # [https://myob.slack.com/archives/CU4FWH6CA/p1750818448201129|https://myob.slack.com/archives/CU4FWH6CA/p1750818448201129|smart-link] # [https://myob.slack.com/archives/CU4FWH6CA/p1750744378297949|https://myob.slack.com/archives/CU4FWH6CA/p1750744378297949|smart-link] # [https://myob.slack.com/archives/C0EV19KC7/p1751428573617049|https://myob.slack.com/archives/C0EV19KC7/p1751428573617049|smart-link]"
"Public API Decommission 25.4","23/Jun/25 8:40 AM","22/Jul/25 10:20 AM","","24/Jun/25 8:31 AM","","Follow [https://myobconfluence.atlassian.net/wiki/spaces/SPPA/pages/2139062666/Decommission+Huxley+version+from+API|https://myobconfluence.atlassian.net/wiki/spaces/SPPA/pages/2139062666/Decommission+Huxley+version+from+API|smart-link] to complete decommission 25.4 from public API. and deploy decommission changes to Prod"
"Fletcher Group - provide pre prod certificate","18/Jun/25 10:32 AM","14/Aug/25 8:41 AM","","19/Jun/25 6:10 PM","","*Value Statement* As Fletcher Building Group is transitioning to Tradelink, for integration purposes they want access to a pre-prod key and a copy of their XML data along with clear insights into how our supplier feed customers are handled, so that we can efficiently test and ensure smooth functionality before going live with the integration. This will help streamline our operations and ensure system compatibility with Tradelink. *Acceptance Criteria* * The pre-prod key is successfully provisioned and provided to Fletcher Building Group for integration testing. * Fletcher Building Group receives a valid copy of their XML data that conforms to the expected format * Documentation or guidelines regarding how supplier feed customers are handled are delivered to Fletcher Building Group and meet their clarity requirements. *Out of Scope* Live production access keys or setup (only pre-prod keys are in scope). * Edits or modifications to the XML data itself beyond standard format validation. * Updates from XML to JSON"
"Planned for 23rd June(Prior to HRP) Due 30th - Rotate the DNA Service Account User key","17/Jun/25 5:38 PM","23/Jun/25 1:15 PM","","23/Jun/25 1:15 PM","","Date required by DNA team: [TBC] Public API send logs data to the Data and Analytics Platform. For the Public API to send logs to the data lake we need to rotate AWS Key/Secret. For the process of rotation look here: [https://myobconfluence.atlassian.net/wiki/spaces/Mira/pages/9156464135/DNA+Service+Account+User+key+AWS+Key+Secret+Rotation+Process|https://myobconfluence.atlassian.net/wiki/spaces/Mira/pages/9156464135/DNA+Service+Account+User+key+AWS+Key+Secret+Rotation+Process|smart-link] New values for the Key/Secret are saved in 1Password, the Entry: “AWS Secret Rotation for Public API logger” h2. Acceptance Criteria # New Key/secrets are updated in the key vaults # API logger deployed in PROD, PDV and SIT environments # Public API logs are in Snowflake Slack communication: [https://myob.slack.com/archives/CU4FWH6CA/p1750138871679519|https://myob.slack.com/archives/CU4FWH6CA/p1750138871679519]"
"Bankfeeds Certificate Removal","17/Jun/25 9:02 AM","18/Jun/25 10:37 AM","08/Aug/25 4:04 PM","18/Jun/25 10:37 AM","","Sparkle team have finished their cert renew and released to Prod. They require our team to help remove the old certificate in Public API side. * *Bank Feed Push Service* ** SIT - Thumbprint: {{EA4A713EA2500E2DB3DC77E44AB515199007ECCC}} ** Prod - Thumbprint: {{7D927951DFBCF7C9AD21FFD26A9CD0CDEE7EB4E5}} * *BankFeeds Auto Approval Service* ** SIT - Thumbprint: {{30D315ACC7FC1E3B5B9B2A87E079CE3B545A9F3B}} ** Prod - Thumbprint: {{5943126B134618715B3CC219B5CDA044F324F6D2}}"
"Review the documentation needed for Tradelink","12/Jun/25 8:08 AM","18/Jun/25 10:38 AM","","18/Jun/25 10:38 AM","","Mike at Fletcher group raised the following: With our move from SOA to MuleSoft, we have discovered that the current way of connecting SOA to MYOB is not compatible with MuleSoft without a lot of custom development. Are you able to share your API documentation with us so our developers can look at their options? [~accountid:6384ea69489de2f7f46521d0] - provided the documentation attached as information we could provide Tradelink. It would be good to look at SUMO or Snowflake to investigate if Tradelink have any other custom fields. h3. Acceptance Criteria * Pull all endpoints that Tradelink/Fletcher building group are currently hitting * Confirm documentation has Fletcher group specific details and make it fit their business. * Add some MYOB branding and make it a PDF."
"Install new certificate for team Titan in SIT","04/Jun/25 10:01 AM","06/Jun/25 11:32 AM","","06/Jun/25 11:32 AM","","Information can be find in [https://myob.slack.com/archives/CU4FWH6CA/p1748935087429059|https://myob.slack.com/archives/CU4FWH6CA/p1748935087429059|smart-link] . The goal is to follow: [https://myobconfluence.atlassian.net/wiki/spaces/Mira/pages/10155393029/Adding+new+Public+API-related+certificate|https://myobconfluence.atlassian.net/wiki/spaces/Mira/pages/10155393029/Adding+new+Public+API-related+certificate|smart-link] , install a new certificate in public API in SIT. The certificate can be found in 1Password: *migration-svc-accountright-api-SIT*"
"Public API 25.5 release","02/Jun/25 9:42 AM","05/Jun/25 9:12 AM","","05/Jun/25 9:12 AM","","Public API release to prod on {{2025-06-04}} [https://myobconfluence.atlassian.net/wiki/spaces/Mira/pages/10442047489/Public+API+Major+Release+-+25.5|https://myobconfluence.atlassian.net/wiki/spaces/Mira/pages/10442047489/Public+API+Major+Release+-+25.5|smart-link]"
"Review PI in Public API Logs in Log Analytcs","28/May/25 4:56 PM","07/Jul/25 9:54 AM","","07/Jul/25 9:54 AM","","{panel:bgColor=#deebff} h1. Objective The Nexo team needs to have access to Public API App Insights information logged in Azure, to help an investigation of Collab Web API integration. Before we allow that access, we need to make sure that those logs don’t contain PI information. {panel} {panel:bgColor=#eae6ff} h1. Technical Info We need to review the following Log Analytics Workspaces: # {{eau-ar-api-loganalytics-ws}} # {{eau-ar-api-loganalytics-ws}} I’ve requested access to it for the Bolt team. {panel}"
"Update Westpac Downloader File Name and Date","28/May/25 10:59 AM","25/Jun/25 9:38 AM","","25/Jun/25 9:38 AM","","The {{There are 1 alerts of type ERROR-sme-westpac-cust-status-downloader-error-counter}} [alert|https://myob.slack.com/archives/C051XP97H5J/p1748390828593829] in channel {{svc-westpac-cust-status-downloader-alerts}} and splunk is consistently firing due to the westpac downloader sFTP file name not being today’s date so it can’t find the file to download. We approached Westpac and said nothing is wrong on their side (see richard for email information) this means the code update now falls on us to ensure the PROD alerts cease, and only fire when there is a real PROD problem. We know that the Shared customer info is still coming through the downloader the in the files, so there is no issue with the customer. This work needs to be complete so noise can be reduced. There are 2 piece of work to be done, # update file names to ensure that they show today and yesterday’s dates. This will need to be done daily until the code change is complete. 👈 # code change to update file name with today’s date - 1 day. {{downloader / worker.cs / line 52}} # update tests accordingly."
"2025.3 decom","26/May/25 9:40 AM","02/Jun/25 4:26 PM","","27/May/25 4:20 PM","",""
"Update Public API GoCD pipelines to use agents with VS2022 Build Tools Image","09/May/25 2:07 PM","16/May/25 3:05 PM","","15/May/25 1:41 PM","","{panel:bgColor=#deebff} h2. User Story *As* maintainers of Public API Service *We* want to use consistent build environments between pipelines and dev boxes. {panel} h2. Acceptance Criteria TBD. h2. Technical Notes TBD."
"Some users cannot access Solo ledgers via the Public-API","07/May/25 10:47 AM","18/Jun/25 5:41 PM","","12/May/25 9:54 AM","","h3. Summary Whilst testing, the Solo team noticed that they were getting an {{Access Denied}} error when using the Public-API with User-Tokens of certain users in the SIT environment, but not others. An investigation was performed, and from this we determined that the issue was being caused by the inclusion of a User check in the Collab-API code. This behaviour was not in the original flow where the Public-API was reading the Collab-DB directly, and a) is not required, b) only detects ARL users and so is breaking the flow for SMEP ledger users and hence c) can/should be removed. h3. Acceptance Criteria # Users of the Public-API should be able to successfully target any ARL or SMEP (e.g. MYOBB, Solo etc) ledgers they are authorised for in Collab when the Collab-API is in use by the Public-API. # Let Nexo know so that they can turn the Collab-API master toggle back on. It is currently off as a workaround for this issue. h3. Testing * There will be a couple of existing Unit and Integration tests that will need to be modified as they will fail once the * Ensure at least 1 E2E test that includes use of the new Collab-API, includes a non-ARL ledger (e.g. MYOBB Pro or similar) *Technical info* Remove the {{ValidateTheUser()}} from the {{MYOB.Huxley.Collaboration.PublicAPIService}} class in Collab (i.e. in the {{Collaboration.sln}} solution) and re-deploy to SIT/Prod. [https://github.com/MYOB-Technology/Collaboration/blob/b8b922bfcb5fe5a1ffa9f1218a5d8a81ffac9185/Huxley.Collaboration/PublicAPIService.cs|https://github.com/MYOB-Technology/Collaboration/blob/b8b922bfcb5fe5a1ffa9f1218a5d8a81ffac9185/Huxley.Collaboration/PublicAPIService.cs#L69] *Slack Reference:* [Link to Slack Conversation|https://myob.slack.com/archives/CU4FWH6CA/p1746406598045089]"
